Episode,Episode_Return,Average Reward (past 100)
1,28.0,28.0
2,17.0,22.5
3,23.0,22.666666666666668
4,19.0,21.75
5,49.0,27.2
6,12.0,24.666666666666668
7,13.0,23.0
8,35.0,24.5
9,23.0,24.333333333333332
10,17.0,23.6
11,15.0,22.818181818181817
12,15.0,22.166666666666668
13,11.0,21.307692307692307
14,15.0,20.857142857142858
15,33.0,21.666666666666668
16,20.0,21.5625
17,39.0,22.58823529411765
18,18.0,22.333333333333332
19,14.0,21.894736842105264
20,10.0,21.3
21,18.0,21.142857142857142
22,86.0,24.09090909090909
23,22.0,24.0
24,12.0,23.5
25,16.0,23.2
26,24.0,23.23076923076923
27,18.0,23.037037037037038
28,10.0,22.571428571428573
29,21.0,22.517241379310345
30,9.0,22.066666666666666
31,9.0,21.64516129032258
32,20.0,21.59375
33,36.0,22.03030303030303
34,13.0,21.764705882352942
35,13.0,21.514285714285716
36,13.0,21.27777777777778
37,19.0,21.216216216216218
38,16.0,21.07894736842105
39,11.0,20.82051282051282
40,28.0,21.0
41,14.0,20.829268292682926
42,63.0,21.833333333333332
43,10.0,21.558139534883722
44,16.0,21.431818181818183
45,16.0,21.31111111111111
46,10.0,21.065217391304348
47,14.0,20.914893617021278
48,34.0,21.1875
49,13.0,21.020408163265305
50,15.0,20.9
51,23.0,20.941176470588236
52,15.0,20.826923076923077
53,17.0,20.754716981132077
54,39.0,21.09259259259259
55,96.0,22.454545454545453
56,16.0,22.339285714285715
57,36.0,22.57894736842105
58,14.0,22.43103448275862
59,9.0,22.203389830508474
60,27.0,22.283333333333335
61,14.0,22.147540983606557
62,26.0,22.20967741935484
63,11.0,22.03174603174603
64,20.0,22.0
65,20.0,21.96923076923077
66,86.0,22.939393939393938
67,11.0,22.761194029850746
68,35.0,22.941176470588236
69,86.0,23.855072463768117
70,50.0,24.228571428571428
71,39.0,24.43661971830986
72,41.0,24.666666666666668
73,29.0,24.726027397260275
74,21.0,24.675675675675677
75,24.0,24.666666666666668
76,82.0,25.42105263157895
77,22.0,25.376623376623378
78,42.0,25.58974358974359
79,28.0,25.620253164556964
80,16.0,25.5
81,11.0,25.320987654320987
82,19.0,25.24390243902439
83,35.0,25.36144578313253
84,90.0,26.13095238095238
85,61.0,26.541176470588237
86,34.0,26.627906976744185
87,24.0,26.597701149425287
88,44.0,26.795454545454547
89,17.0,26.685393258426966
90,150.0,28.055555555555557
91,39.0,28.175824175824175
92,208.0,30.130434782608695
93,19.0,30.010752688172044
94,43.0,30.148936170212767
95,30.0,30.147368421052633
96,24.0,30.083333333333332
97,82.0,30.61855670103093
98,155.0,31.887755102040817
99,123.0,32.80808080808081
100,116.0,33.64
101,20.0,33.56
102,32.0,33.71
103,18.0,33.66
104,80.0,34.27
105,152.0,35.3
106,28.0,35.46
107,31.0,35.64
108,99.0,36.28
109,39.0,36.44
110,97.0,37.24
111,51.0,37.6
112,138.0,38.83
113,45.0,39.17
114,135.0,40.37
115,96.0,41.0
116,92.0,41.72
117,48.0,41.81
118,143.0,43.06
119,33.0,43.25
120,110.0,44.25
121,66.0,44.73
122,73.0,44.6
123,63.0,45.01
124,131.0,46.2
125,142.0,47.46
126,199.0,49.21
127,80.0,49.83
128,55.0,50.28
129,47.0,50.54
130,15.0,50.6
131,117.0,51.68
132,79.0,52.27
133,30.0,52.21
134,26.0,52.34
135,73.0,52.94
136,135.0,54.16
137,31.0,54.28
138,136.0,55.48
139,71.0,56.08
140,106.0,56.86
141,76.0,57.48
142,134.0,58.19
143,103.0,59.12
144,229.0,61.25
145,146.0,62.55
146,18.0,62.63
147,110.0,63.59
148,263.0,65.88
149,146.0,67.21
150,99.0,68.05
151,186.0,69.68
152,133.0,70.86
153,62.0,71.31
154,163.0,72.55
155,213.0,73.72
156,354.0,77.1
157,63.0,77.37
158,253.0,79.76
159,71.0,80.38
160,187.0,81.98
161,13.0,81.97
162,169.0,83.4
163,221.0,85.5
164,22.0,85.52
165,258.0,87.9
166,314.0,90.18
167,121.0,91.28
168,42.0,91.35
169,186.0,92.35
170,116.0,93.01
171,56.0,93.18
172,162.0,94.39
173,283.0,96.93
174,158.0,98.3
175,161.0,99.67
176,185.0,100.7
177,181.0,102.29
178,157.0,103.44
179,235.0,105.51
180,180.0,107.15
181,197.0,109.01
182,148.0,110.3
183,145.0,111.4
184,264.0,113.14
185,71.0,113.24
186,185.0,114.75
187,205.0,116.56
188,204.0,118.16
189,206.0,120.05
190,219.0,120.74
191,217.0,122.52
192,209.0,122.53
193,190.0,124.24
194,249.0,126.3
195,205.0,128.05
196,221.0,130.02
197,258.0,131.78
198,255.0,132.78
199,28.0,131.83
200,64.0,131.31
201,195.0,133.06
202,199.0,134.73
203,246.0,137.01
204,330.0,139.51
205,285.0,140.84
206,420.0,144.76
207,190.0,146.35
208,193.0,147.29
209,20.0,147.1
210,308.0,149.21
211,160.0,150.3
212,420.0,153.12
213,247.0,155.14
214,253.0,156.32
215,252.0,157.88
216,290.0,159.86
217,271.0,162.09
218,42.0,161.08
219,202.0,162.77
220,222.0,163.89
221,195.0,165.18
222,205.0,166.5
223,238.0,168.25
224,251.0,169.45
225,231.0,170.34
226,271.0,171.06
227,204.0,172.3
228,65.0,172.4
229,236.0,174.29
230,333.0,177.47
231,203.0,178.33
232,173.0,179.27
233,351.0,182.48
234,45.0,182.67
235,249.0,184.43
236,221.0,185.29
237,177.0,186.75
238,267.0,188.06
239,266.0,190.01
240,222.0,191.17
241,240.0,192.81
242,439.0,195.86
243,347.0,198.3
244,266.0,198.67
245,257.0,199.78
246,148.0,201.08
247,243.0,202.41
248,279.0,202.57
249,203.0,203.14
250,236.0,204.51
251,247.0,205.12
252,222.0,206.01
253,90.0,206.29
254,243.0,207.09
255,230.0,207.26
256,333.0,207.05
257,219.0,208.61
258,210.0,208.18
259,260.0,210.07
260,217.0,210.37
261,387.0,214.11
262,270.0,215.12
263,251.0,215.42
264,207.0,217.27
265,255.0,217.24
266,240.0,216.5
267,500.0,220.29
268,351.0,223.38
269,300.0,224.52
270,281.0,226.17
271,500.0,230.61
272,236.0,231.35
273,265.0,231.17
274,401.0,233.6
275,311.0,235.1
276,287.0,236.12
277,199.0,236.3
278,277.0,237.5
279,421.0,239.36
280,208.0,239.64
281,209.0,239.76
282,500.0,243.28
283,295.0,244.78
284,275.0,244.89
285,307.0,247.25
286,12.0,245.52
287,324.0,246.71
288,253.0,247.2
289,268.0,247.82
290,318.0,248.81
291,147.0,248.11
292,243.0,248.45
293,285.0,249.4
